Belligerents.allies,Belligerents.axis,Casualties and losses.allies,Casualties and losses.axis,Commanders and leaders.allies,Commanders and leaders.axis,Date,Location,Result,Strength.allies,Strength.axis,Territorial,level,name,time,url,front
United States,Japan,"1 fleet carrier heavily damaged
20 aircraft destroyed
90 killed[3]","1 light carrier sunk
1 destroyer
1 transport sunk
1 light cruiser
1 seaplane tender heavily damaged
75 aircraft destroyed
290+ killed[4]",Frank Jack Fletcher,Chūichi Nagumo,24–25 August 1942,"North of Santa Isabel, Solomon Islands",American victory,"2 fleet carriers
1 battleship
4 cruisers
11 destroyers
176 aircraft[1]","2 fleet carriers
1 light carrier
2 battleships
16 cruisers
25 destroyers
1 seaplane tender
4 patrol boats
3 transports
171–177 aircraft[2]",,100,Battle of the Eastern Solomons,", August 1942",https://en.wikipedia.org/wiki/Battle_of_the_Eastern_Solomons,Pacific Theatre
"United States  United Kingdom

 British Solomon Islands",Japan,59 killed or missing204 wounded,700–850 killed[3]~500 wounded,Alexander Vandegrift  Merritt A. Edson,Harukichi Hyakutake  Kiyotake Kawaguchi,12–14 September 1942,"Guadalcanal, Solomon Islands",Allied victory,"12,500[1]","6,217[2]",,100,Battle of Edson's Ridge,September 1942,https://en.wikipedia.org/wiki/Battle_of_Edson%27s_Ridge,Pacific Theatre
United States,Japan,156 killed[5],750 killed[6],"Alexander Vandegrift,Amor L. Sims,Merritt A. Edson,Chesty Puller,Samuel B. GriffithHerman H. Hanneken","Harukichi Hyakutake,Kiyotake Kawaguchi,Akinosuke Oka,Masao Maruyama,Yumio Nasu",23–27 September and 6–9 October 1942,"Guadalcanal, Solomon Islands",September action: Japanese victory;October action: United States victory,"3,000[1]","2,000[2][3][4]",,100,Actions along the Matanikau,September–October 1942,https://en.wikipedia.org/wiki/Actions_along_the_Matanikau,Pacific Theatre
United States,Japan,1 destroyer sunk1 cruiser damaged1 destroyer damaged163 killed[1],1 cruiser sunk1 destroyer sunk1 cruiser damaged341–454 killed111 captured[2],Norman Scott,"Aritomo Gotō †, Takatsugu Jojima",11–12 October 1942,"Near Cape Esperance and Savo Island, Guadalcanal",American victory,4 cruisers5 destroyers,"3 cruisers2 destroyers,reinforcement convoy (indirectly involved):6 destroyers,2 seaplane tenders",,100,Battle of Cape Esperance,", October 1942",https://en.wikipedia.org/wiki/Battle_of_Cape_Esperance,Pacific Theatre
United States,Japan,"61–86 killed,1 tugboat,1 patrol boat sunk,3 aircraft destroyed[3][4]","2,200–3,000 killed,1 cruiser sunk,14 aircraft destroyed[5]",Alexander Vandegrift,Harukichi Hyakutake,23—26 October 1942,9°26′51″S 160°2′56″E﻿ / ﻿9.44750°S 160.04889°E﻿ / -9.44750; 160.04889﻿ (Henderson's Airfield)Coordinates: 9°26′51″S 160°2′56″E﻿ / ﻿9.44750°S 160.04889°E﻿ / -9.44750; 160.04889﻿ (Henderson's Airfield)Guadalcanal in the Solomon Islands,Allied victory,"23,088[1]","20,000[2]",,100,Battle for Henderson Field,October 1942,https://en.wikipedia.org/wiki/Battle_for_Henderson_Field,Pacific Theatre
United States,Japan,"1 fleet carrier sunk
1 destroyer sunk
1 fleet carrier heavily damaged
2 destroyers heavily damaged
81 aircraft destroyed
266 dead[4]","1 fleet carrier heavily damaged
1 light carrier heavily damaged
1 cruiser heavily damaged
99 aircraft destroyed
400–500 dead[5]","William Halsey, Jr.
Thomas C. Kinkaid","Nobutake Kondō
Chūichi Nagumo",25–27 October 1942,"Santa Cruz Islands, Solomon Islands","Japanese tactical victory
American strategic victory","2 fleet carriers
1 battleship
6 cruisers
14 destroyers
136 aircraft[1]","3 fleet carriers
1 light carrier
4 battleships[2]
10 cruisers
25 destroyers
199 aircraft[3]",,100,Battle of the Santa Cruz Islands,", October 1942",https://en.wikipedia.org/wiki/Battle_of_the_Santa_Cruz_Islands,Pacific Theatre
United States,Japan,71 killed[3],400 killed[4],"Alexander Vandegrift,Merritt A. Edson","Harukichi Hyakutake,Tadashi Sumiyoshi,  Nomasu Nakaguma †",1–4 November 1942,"Guadalcanal, Solomon Islands",United States victory,"4,000[1]

1st Marine Division
2nd Marine Regiment
Americal Division","1,000[2]",,100,Matanikau Offensive,November 1942,https://en.wikipedia.org/wiki/Matanikau_Offensive,Pacific Theatre
United States United Kingdom British Solomon Islands Australia,Japan,40 killed[3],450+ killed[4],"Alexander Vandegrift,William H. Rupertus,Edmund B. Sebree","Harukichi Hyakutake,Toshinari Shōji",3–12 November 1942,"Guadalcanal, Solomon Islands",Allied victory,"3,500[1]

7th Marine Regiment
164th Infantry Regiment","2,500–3,500[2]",,100,Koli Point action,November 1942,https://en.wikipedia.org/wiki/Koli_Point_action,Pacific Theatre
United States Australia British Solomon Islands,Imperial Japan,16 killed17 wounded 2 wounded[3],488 killed[4],"Alexander Vandegrift
Evans Carlson","Harukichi Hyakutake
Toshinari Shōji",6 November – 4 December 1942,Guadalcanal in the Solomon Islands,Allied victory,"700[1]

2nd Marine Raider Battalion","2,500[2]",,100,Carlson's Patrol,November–December 1942,https://en.wikipedia.org/wiki/Carlson%27s_Patrol,Pacific Theatre
United States,Japan,"First phase (13 Nov):2 light cruisers4 destroyers

Second phase (14/15 Nov):3 destroyers1 battleship moderately damagedPlus (13–15 Nov):36 aircraftfor a total of 1,732 killed[1]","First phase:1 battleship1 heavy cruiser2 destroyers7 transportsSecond phase:1 battleship1 destroyer4 transports (beached first)Plus:64 aircraftfor a total of 1,900 killed (exclusive of transport losses)[2]","William Halsey, Jr.
 Daniel Callaghan †
 Norman Scott †
 Willis A. Lee","Isoroku Yamamoto
 Hiroaki Abe
 Nobutake Kondō
 Raizō Tanaka",12–15 November 1942,"Guadalcanal, Solomon Islands",Strategic American victory,"1 carrier
2 battleships
2 heavy cruisers
3 light cruisers
12 destroyers","2 battleships
6 heavy cruisers
4 light cruisers
16 destroyers
11 transports",,100,Naval Battle of Guadalcanal,. November 1942,https://en.wikipedia.org/wiki/Naval_Battle_of_Guadalcanal,Pacific Theatre
United States,Japan,"1 cruiser sunk,3 cruisers heavily damaged,395 killed[1]","1 destroyer sunk,197 killed[2]",Carleton H. Wright,Raizō Tanaka,"November 30, 1942","off Tassafaronga, Guadalcanal",Japanese tactical victory,"5 cruisers,4 destroyers",8 destroyers,,100,Battle of Tassafaronga,", November 1942",https://en.wikipedia.org/wiki/Battle_of_Tassafaronga,Pacific Theatre
Allied forces including: United States British Solomon Islands Colony of Fiji New Zealand[1],Japan,250 killed[4],"2,700–3,300 killed[5]",Alexander Patch,Harukichi Hyakutake,15 December 1942 – 23 January 1943,Guadalcanal in the Solomon Islands,Allied victory,"50,078[2]","20,000[3]",,100,"Battle of Mount Austen, the Galloping Horse, and the Sea Horse",December 1942,"https://en.wikipedia.org/wiki/Battle_of_Mount_Austen,_the_Galloping_Horse,_and_the_Sea_Horse",Pacific Theatre
United States,Japan,1 cruiser sunk1 destroyer damaged85 killed[4],12 bombers destroyed60–84 killed[5],William Halsey Jr.Robert C. Giffen,Isoroku YamamotoJinichi Kusaka[1],29–30 January 1943,"Rennell Island, Solomon Islands, Pacific Ocean","Japanese defensive victory

U.S. naval task forces repulsed
Evacuation of remaining Japanese forces from Guadalcanal secured",1 aircraft carrier2 escort carriers6 cruisers8 destroyers14 fighters[2],43 bombers[3],,100,Battle of Rennell Island,January 1943,https://en.wikipedia.org/wiki/Battle_of_Rennell_Island,Pacific Theatre
United States United Kingdom •   Solomon Islands[1] •  Fiji[2] Australia New Zealand Tonga[3],Japan,"7,100 dead[6]7,789+ wounded[7]4 captured29 ships lost including 1 fleet carrier, 1 light carrier, 6 cruisers and 14 destroyers.615 aircraft lost[8]","19,200 dead, of which 8,500 were killed in combat[9]

1,000 captured38 ships lost including 1 light carrier, 2 battleships, 3 heavy cruisers, 13 destroyers.683 aircraft lost[10][11] 10,652 evacuated.","U.S. Navy:Robert L. GhormleyWilliam F. Halsey, Jr.Richmond K. TurnerFrank J. Fletcher U.S. Marine Corps:Alexander A. VandegriftMerritt A. Edson U.S. Army:Alexander M. Patch U.S. Coast Guard:Russell R. Waesche",I.J. Navy:Isoroku YamamotoHiroaki AbeNobutake KondōNishizo TsukaharaTakeo KuritaJinichi KusakaShōji NishimuraGunichi MikawaRaizō Tanaka I.J. Army:Hitoshi ImamuraHarukichi Hyakutake,7 August 1942 – 9 February 1943(6 months and 2 days),"Guadalcanal, British Solomon Islands","Allied victory

Beginning of Allied Offensive Operations in the Pacific","60,000+ men (ground forces)[4]","36,200 men (ground forces)[5]",,1,Guadalcanal Campaign,August 1942 – February 1943,https://en.wikipedia.org/wiki/Guadalcanal_Campaign,Pacific Theatre
Australia United States,Japan,"13 killed,19 wounded","20 killed,15 wounded,1 prisoner",Arthur Arnold Keith Gategood,Tsukioka Torashige,22–27 October 1942,"Goodenough Island, Territory of PapuaCoordinates: 9°20′24.79″S 150°16′3.06″E﻿ / ﻿9.3402194°S 150.2675167°E﻿ / -9.3402194; 150.2675167",Allied victory,640,"353 (initially),285 (during ground fighting)",,100,Battle of Goodenough Island,", October 1942",https://en.wikipedia.org/wiki/Battle_of_Goodenough_Island,Pacific Theatre
Australia United States,Japan,"1,991 killed,12,300+ injured or sick[Note 4]","7,000 killed (4,000 in battle, remainder from disease)[1][Note 5]1,200 injured (evacuated),250+ captured",Edmund Herring George Vasey Edwin F. Harding Robert L. Eichelberger,Yosuke Yokoyama Yoshitatsu Yasudafrom 6 December: Tsuyuo Yamagata,16 November 1942 – 22 January 1943,Territory of PapuaCoordinates: 8°39′S 148°22′E﻿ / ﻿8.650°S 148.367°E﻿ / -8.650; 148.367,Allied victory,"20,000+ (total) [Note 2]","5,500 – 6,500 (initially)[Note 3] 11,000 – 12,000 (total)",,100,Battle of Buna–Gona,", November 1942 – January 1943",https://en.wikipedia.org/wiki/Battle_of_Buna%E2%80%93Gona,Pacific Theatre
Australia United States,Imperial Japan,"349 killed, wounded or missing","1,200 killed (estimate)",Thomas Blamey Murray Moten,Hitoshi Imamura Toru Okabe,29 January – 4 February 1943,"Wau, Territory of New Guinea",Allied victory,"3,000","4,000",,100,Battle of Wau,", January 1943",https://en.wikipedia.org/wiki/Battle_of_Wau,Pacific Theatre
United States Australia,Japan,"2 bombers,4 fighters destroyed13 killed[1]","8 transports,4 destroyers sunk20 fighters destroyed,2,890+ dead[2]",Ennis Whitehead Joe Hewitt,Gunichi Mikawa Masatomi Kimura,2–4 March 1943,"Bismarck Sea, in the vicinity of Lae",Allied victory,39 heavy bombers;41 medium bombers;34 light bombers; 54 fighters10 torpedo boats,"8 destroyers,8 troop transports,100 aircraft",,100,Battle of the Bismarck Sea,", March 1943",https://en.wikipedia.org/wiki/Battle_of_the_Bismarck_Sea,Pacific Theatre
Australia United States,Japan,"Australia:  1,772 killed, wounded or missing[1][2] 

United States:  81 killed and 396 wounded[3]","11,600 killed, wounded or captured[1]",Douglas MacArthur Thomas Blamey Edmund Herring Stanley Savige Edward Milford George Wootten George Vasey,"Hatazō Adachi

 Hidemitsu Nakano",22 April – 16 September 1943,"Salamaua–Lae area, Morobe Province, Territory of New Guinea",Allied victory,"~30,000","~10,000",,100,Salamaua–Lae campaign,", April–September 1943",https://en.wikipedia.org/wiki/Salamaua%E2%80%93Lae_campaign,Pacific Theatre
Australia United States,Japan,204 killed  464 wounded,800 killed  400 wounded,George Vasey,Masutaro Nakai,19 September 1943 – 24 April 1944,"Finisterre Range, Territory of New Guinea",Allied victory,"~ 17,000","~ 12,000",,100,Finisterre Range campaign,", September 1943 – April 1944",https://en.wikipedia.org/wiki/Finisterre_Range_campaign,Pacific Theatre
Australia United States,Japan,"~1,387 killed or wounded","~5,500 killed","George Wootten

Victor Windeyer
Bernard Evans
David Whitehead
Selwyn Porter
Cedric Edgar","Hatazō Adachi

Eizo Yamada
Shigeru Katagiri",22 September 1943 – 1 March 1944,"Huon Peninsula, Territory of New Guinea",Allied victory,"~13,100","~12,500",,100,Huon Peninsula campaign,", September 1943 – March 1944",https://en.wikipedia.org/wiki/Huon_Peninsula_campaign,Pacific Theatre
United States Australia New Zealand   Colony of Fiji,Japan,USA:727 deadAustralia:516 dead[4],"18,500–21,500 dead[5][Note 1]",Douglas MacArthur  William F. Halsey Theodore S. Wilkinson Alexander A. Vandegrift  Robert Amos Row Allen H. Turnage Robert S. Beightler Roy S. Geiger Oscar W. Griswold H. E. Barrowclough Thomas Blamey Stanley Savige,Hitoshi Imamura Harukichi Hyakutake Mineichi Koga Jinichi Kusaka Tomoshige Samejima Sentaro Omori Kiyoto Kagawa † Masatane Kanda,1 November 1943 – 21 August 1945,"6°8′S 155°18′E﻿ / ﻿6.133°S 155.300°E﻿ / -6.133; 155.300Coordinates: 6°8′S 155°18′E﻿ / ﻿6.133°S 155.300°E﻿ / -6.133; 155.300Bougainville, Territory of New Guinea (geographically part of theSolomon Islands)",Allied victory,"144,000 American troops30,000 Australian troops[1]728 aircraft[2]","45,000–65,000 troops[3]154 aircraft[2]",,100,Bougainville Campaign,", November 1943 – August 1945",https://en.wikipedia.org/wiki/Bougainville_Campaign,Pacific Theatre
"United States Australia

 Territory of New Guinea
 New Zealand",Japan,"502 killed1,575 wounded4 missing","~30,000 killed (mostly from disease and starvation)[1]",Julian Cunningham William H. Rupertus Rapp Brush Alan Ramsay Horace Robertson,Hitoshi Imamura,15 December 1943 – 21 August 1945,"New Britain, Territory of New Guinea",Allied victory,"20,000","100,000",,100,New Britain campaign,", December 1943 – August 1945",https://en.wikipedia.org/wiki/New_Britain_campaign,Pacific Theatre
United States Australia,Japan,"310 killed1,083 wounded","2,000 killed",William H. RupertusWilliam J. WhalingJulian N. Frisbie,Yasushi SakaiIwao Matsuda,26 December 1943 – 16 January 1944,"Cape Gloucester, New Britain, Territory of New Guinea5°27′S 148°25′E﻿ / ﻿5.450°S 148.417°E﻿ / -5.450; 148.417",Allied victory,,,,100,Battle of Cape Gloucester,December 1943 – April 1944,https://en.wikipedia.org/wiki/Battle_of_Cape_Gloucester,Pacific Theatre
United States Australia,Japan,"326 killed1,190 wounded4 missing","3,280 killed75 captured",Douglas MacArthur William C. Chase,Hitoshi ImamuraYoshio Ezaki †,29 February 1944 (1944-02-29)–18 May 1944 (1944-05-18)  80 days,Admiralty Islands2°2′S 147°16.5′E﻿ / ﻿2.033°S 147.2750°E﻿ / -2.033; 147.2750Coordinates: 2°2′S 147°16.5′E﻿ / ﻿2.033°S 147.2750°E﻿ / -2.033; 147.2750,Decisive Allied victory,"35,000","4,000",,100,Admiralty Islands campaign,", February–May 1944",https://en.wikipedia.org/wiki/Admiralty_Islands_campaign,Pacific Theatre
United States Australia Netherlands United Kingdom,Imperial Japan,"1,922+ killed or missing 8,000+ wounded","42,000+ dead and nearly 1,000 POWs",,,22 April 1944 – 15 August 1945,Territory of New Guinea and Netherlands New Guinea,Allied victory,~,~,,100,Western New Guinea campaign,", April 1944 – August 1945",https://en.wikipedia.org/wiki/Western_New_Guinea_campaign,Pacific Theatre
"Australia
 United States
 United Kingdom",Japan,"442 killed in action
145 dead from other causes[2]
1,141 wounded[1]","7,000–9,000 killed in action
14,000 dead from disease and hunger[2]
269 captured[1]",Jack Stevens,Hatazō Adachi,November 1944 – August 1945,"Aitape/Wewak/Sepik region, Territory of New Guinea",Allied victory,"~13,000 men[Note 1]","~30,000–35,000[1]",,100,Aitape–Wewak campaign,", November 1944 – August 1945",https://en.wikipedia.org/wiki/Aitape%E2%80%93Wewak_campaign,Pacific Theatre
"Australia

 New Guinea
 United States United Kingdom Netherlands",Imperial Japan,"42,000 total[4]

 12,291 (4,684 killed)[5]","127,600 (mostly from disease and starvation)[6]","Australian Military Forces:
 Thomas Blamey
 Sydney Rowell
 Edmund Herring
 Iven Mackay
 Leslie Morshead
 Stanley Savige
 Frank Berryman
U.S. Army:
 Douglas MacArthur
 George Kenney
 Robert Eichelberger
U.S. Navy:
 Arthur Carpender
 Daniel Barbey","I.J. Army:
 Harukichi Hyakutake
 Hitoshi Imamura
 Hatazō Adachi
 Tomitarō Horii †
 Heisuke Abe †[2]
I.J. Navy:
 Isoroku Yamamoto
 Jisaburo Ozawa
 Jinichi Kusaka
 Masatomi Kimura",23 January 1942 – August 1945,New Guinea,Allied victory,,"350,000[3]",,1,New Guinea campaign,October 1942 – August 1945,https://en.wikipedia.org/wiki/New_Guinea_campaign,Pacific Theatre
United States,Japan,"1 heavy cruiser severely damaged,2 destroyers slightly damaged,7 killed,20 wounded[Note 2]","1 heavy cruiser moderately damaged,1 heavy cruiser slightly damaged,14 killed,26 wounded[Note 3]",Charles McMorris,Boshiro Hosogaya,27 March 1943[Note 1],off Komandorski Islands,Tactically inconclusiveStrategic U.S. victory,"1 heavy cruiser,1 light cruiser,4 destroyers","2 heavy cruisers,2 light cruisers,4 destroyers",,100,Battle of the Komandorski Islands,March 1943,https://en.wikipedia.org/wiki/Battle_of_the_Komandorski_Islands,Pacific Theatre
United StatesAir support: Canada[1],Japan,"549 killed,1,148 wounded1,814 cold injuries and disease[2]","2,351 killed28 captured[2]",John L. DeWitt Thomas C. Kinkaid Albert E. Brown Eugene M. Landrum Archibald V. Arnold,Yasuyo Yamasaki †,11–30 May 1943,"Attu, Aleutian Islands, Alaska, United States",Allied victory,"American:15,000Canadian:1 reconnaissance aircraft squadron2 fighter-bomber squadrons[1]","2,900",,100,Battle of Attu,May 1943,https://en.wikipedia.org/wiki/Battle_of_Attu,Pacific Theatre
United States Canada,Japan,"1,481 killed225 aircraft destroyed[3]640 missing3,416 wounded8 capturedUS Navy vessels heavily damaged[4]USS Salt Lake City (CA-25)USS Abner Read (DD-526)US Navy vessels lostUSS Worden (DD-352)USS S-27 (SS-132)USS Grunion (SS-216)","4,350 killed28 captured7 warships sunk9 cargo transport ships sunk[5]","Thomas Kinkaid Francis Rockwell Albert Brown Archibald Arnold Simon Buckner, Jr.  George Pearkes Harry Foster",Boshiro Hosogaya Kakuji Kakuta Monzo Akiyama Yasuyo Yamasaki †,"3 June 1942 – 15 August 1943(1 year, 2 months, 1 week and 5 days)","Aleutian Islands, Alaska Territory52°5′51.34″N 173°30′4.32″W﻿ / ﻿52.0975944°N 173.5012000°W﻿ / 52.0975944; -173.5012000Coordinates: 52°5′51.34″N 173°30′4.32″W﻿ / ﻿52.0975944°N 173.5012000°W﻿ / 52.0975944; -173.5012000",Allied victory,"144,000[1]","8,500[2]",,1,Aleutian Islands Campaign,", March 1943 – August 1943",https://en.wikipedia.org/wiki/Aleutian_Islands_Campaign,Pacific Theatre
United States,Imperial Japan,"1 P-38G fighter aircraft lost,1 pilot killed","2 bombers destroyed,19 killed inc. Admiral Yamamoto","William F. Halsey, Jr. John W. Mitchell",Isoroku Yamamoto † Matome Ugaki (WIA),"April 18, 1943",Bougainville in the South Pacific,Operation mission successful;Admiral Yamamoto killed,16 P-38G fighter aircraft,"2 G4M1 bombers,6 A6M2 fighter aircraft",,100,Operation Vengeance,April 1943,https://en.wikipedia.org/wiki/Operation_Vengeance,Pacific Theatre
United States New Zealand Australia British Solomon Islands,Japan,"1,195 killed,93 aircraft destroyed[1]","1,671 killed,358 aircraft destroyed[2]","U.S. Navy: William F. Halsey
 R. Kelly Turner
 Theod. S. Wilkinson
 Fred. Moosbrugger
 A. Stanton Merrill
 Walden L. Ainsworth
 Thomas J. Ryan
U.S. Marines: Harry B. Liversedge
U.S. Army: Oscar W. Griswold
 Millard F. Harmon
 John H. Hester
 Robert B. McClure

N.Z. Army: H. E. Barrowclough","I.J. Navy: Jinichi Kusaka
 Teruo Akiyama †
 Shunji Izaki †
 Kaju Sugiura
 Matsuji Ijuin
I.J. Army: Hitoshi Imamura

 Minoru Sasaki",20 June – 7 October 1943,"New Georgia Islands, Solomon Islands",Allied victory,"32,000","10,500",,100,New Georgia Campaign,", June–August 1943",https://en.wikipedia.org/wiki/New_Georgia_Campaign,Pacific Theatre
United States,Japan,"1 light cruiser sunk,168 killed[1]","2 destroyers sunk,2 destroyers damaged324 killed[2]",Walden L. Ainsworth,Teruo Akiyama †,6 July 1943,"Kolombangara, Solomon Islands","Inconclusive; 850 of 2,600 Japanese troops landed at Vila, remainder killed or not landed","3 light cruisers,4 destroyers",10 destroyers,,100,Battle of Kula Gulf,July 1943,https://en.wikipedia.org/wiki/Battle_of_Kula_Gulf,Pacific Theatre
United States New Zealand,Japan,"1 destroyer sunk,3 light cruisers heavily damaged,89 killed[1]","1 light cruiser sunk,482 killed[2]",Walden Ainsworth,Shunji Isaki †,12/13 July 1943,Kolombangara in the Solomon Islands,Japanese tactical victory,"3 light cruisers,10 destroyers","1 light cruiser,5 destroyers",,100,Battle of Kolombangara,July 1943,https://en.wikipedia.org/wiki/Battle_of_Kolombangara,Pacific Theatre
United States,Japan,None,"3 destroyers sunk,1,210 killed",Frederick Moosbrugger,Kaju Sugiura,6–7 August 1943,Near Kolombangara in the Solomon Islands,United States victory,6 destroyers,4 destroyers,,100,Battle of Vella Gulf,August 1943,https://en.wikipedia.org/wiki/Battle_of_Vella_Gulf,Pacific Theatre
United States New Zealand,Japan,150 killed[4],Less than 150[5] to 200–300 killed[6],Theodore S. WilkinsonOscar GriswoldHarold Barrowclough,Noboru Sasaki,15 August – 6 October 1943,Vella Lavella in the Solomon Islands7°44′S 156°38′E﻿ / ﻿7.733°S 156.633°E﻿ / -7.733; 156.633,Allied victory,"9,588[1]","700[2] – 1,000[3]",,100,Land Battle of Vella Lavella,August – October 1943,https://en.wikipedia.org/wiki/Land_Battle_of_Vella_Lavella,Pacific Theatre
United States,Japan,"1 destroyer sunk,2 destroyers heavily damaged,67 killed47 wounded36 missing[1][2]","1 destroyer sunk,138 killed[3]",Frank R. Walker,Matsuji Ijuin,6 October 1943,Vella Lavella in the Solomon Islands,Japanese victory,6 destroyers,"9 destroyers,20 barges,auxiliary ships",,100,Naval Battle of Vella Lavella,October 1943,https://en.wikipedia.org/wiki/Naval_Battle_of_Vella_Lavella,Pacific Theatre
United States,Japan,1 cruiser damaged2 destroyers damaged19 killed[1],1 light cruiser sunk1 destroyer sunk1 heavy cruiser damaged1 light cruiser damaged2 destroyers heavily damaged25 aircraft shot down198–658 killed[2][3][Note 1],Aaron S. Merrill Arleigh Burke,Sentaro Omori Matsuji Ijuin,1–2 November 1943,"Empress Augusta Bay, Bougainville, Territory of New Guinea",United States victory,4 light cruisers8 destroyers,2 heavy cruisers2 light cruisers6 destroyers100 aircraft,,100,Battle of Empress Augusta Bay,November 1943,https://en.wikipedia.org/wiki/Battle_of_Empress_Augusta_Bay,Pacific Theatre
United States,Japan,None,"3 destroyers sunk,1 destroyer damaged,647 killed[Note 1]",Arleigh Burke,Kiyoto Kagawa †,25 November 1943,"Near Buka Island, north of Bougainville",U.S. victory,5 destroyers,5 destroyers,,100,Battle of Cape St. George,November 1943,https://en.wikipedia.org/wiki/Battle_of_Cape_St._George,Pacific Theatre
United States United Kingdom •  Fiji •  Solomon Islands •  Tonga Australia New Zealand,Japan,"10,600 killed40+ ships sunk,800 aircraft destroyed[c]","86,000 killed50+ ships sunk,1,500 aircraft destroyed[c]","Chester Nimitz Douglas MacArthur Alexander Vandegrift Robert Ghormley William Halsey, Jr. William S. Marchant[a] Alexander Patch Frank Jack Fletcher Richmond K. Turner Eric Feldt[b] Roy Geiger Theodore Wilkinson Oscar Griswold Stanley Savige Harold Eric Barrowclough",Isoroku Yamamoto † Chūichi Nagumo Shigeyoshi Inoue Nishizo Tsukahara Takeo Kurita Kiyohide Shima Jinichi Kusaka Shōji Nishimura Gunichi Mikawa Raizo Tanaka Hitoshi Imamura Harukichi Hyakutake Minoru Sasaki,January 1942 – 21 August 1945,"British Solomon Islands/Territory of New Guinea, South Pacific",Allied victory,,,,1,Solomon Islands Campaign,", June 1943 – November 1943",https://en.wikipedia.org/wiki/Solomon_Islands_Campaign,Pacific Theatre
United States,Empire of Japan,"1,696 killed2,101 woundedU.S. Marine Corps:1,009 killed[2]2,101 wounded[2]U.S. Navy:1 escort carrier sunk (USS Liscome Bay)687 killed[2]","4,690 killed17 soldiers captured129 labourers captured14 tanks destroyed",U.S. Navy:Raym. A. SpruanceRichmond K. TurnerHarry W. HillU.S. Marine Corps:Holland M. SmithJulian C. SmithLeo D. HermleMerritt A. EdsonDavid M. Shoup,Keiji Shibazaki †,20–23 November 1943,"Betio Island, Tarawa Atoll, Gilbert Islands",U.S. victory,"35,000 troops18,000 Marines[1]5 escort carriers3 old battleships2 heavy cruisers2 light cruisers22 destroyers2 minesweepers18 transports & landing ships","2,636 troops2,200 construction labourers (1,000 Japanese and 1,200 Korean)14 tanks40 artillery pieces14 naval guns",,100,Battle of Tarawa,", November 1943",https://en.wikipedia.org/wiki/Battle_of_Tarawa,Pacific Theatre
United States,Japan,Kwajalein:142 killed845 wounded2 missingRoi-Namur:206 killed617 wounded181 missing[1]:88,"Kwajalein:4,300 killed166 capturedRoi-Namur:3,500 killed87 captured[1]:88",Richmond K. Turner (USN)Holland M. Smith (USMC)Harry Schmidt (USMC)Charles H. Corlett (USA)Thomas E. Watson (USMC),Monzo Akiyama †Masami KobayashiYamada Michiyuki †Yoshimi Nishida †,31 January–3 February 1944,"Kwajalein Atoll, Marshall Islands",U.S. victory,"46,670[1]:27–28","Kwajalein:about 5,000Roi-Namur:about 3,000[1]:31",,100,Battle of Kwajalein,", February 1944",https://en.wikipedia.org/wiki/Battle_of_Kwajalein,Pacific Theatre
United States,Japan,313 killed77 missing879 wounded[1]:88,"3,380 killed144 captured[1]:881 naval gun destroyed",Harry W. HillJohn T. WalkerThomas E. Watson,Yoshimi Nishida †,17 February – 23 February 1944,"Eniwetok Atoll, Marshall Islands",United States victory,"2 regiments

22nd Marine Regiment
106th Infantry Regiment","3,500[1]:329 light tanks3 anti-tank guns3 naval guns4 mountain guns",,100,Battle of Eniwetok,", February 1944",https://en.wikipedia.org/wiki/Battle_of_Eniwetok,Pacific Theatre
United States,Japan,"est. 5,100 dead or missing,6,700 wounded","est. 21,000 dead,375 captured",Navy: Chester W. Nimitz Richmond K. Turner Marc A. Mitscher Harry W. HillMarine Corps: Holland M. Smith Thomas E. WatsonArmy: Ralph C. Smith,Navy: Kōsō Abe Keiji Shibazaki † Monzo Akiyama † Chūichi HaraArmy: Yoshimi Nishida †Political: Seizo Ishikawa,November 1943 – February 1944,"Gilbert and Marshall Islands, Pacific Ocean",U.S. victory,,,,1,Gilbert and Marshall Islands campaign,", November 1943 – February 1944",https://en.wikipedia.org/wiki/Gilbert_and_Marshall_Islands_campaign,Pacific Theatre
United States,Japan,"13,790 casualties:3,426 killed and missing[2]:37910,364 wounded[3]","29,000 casualties:[4]24,000 KIA5,000 suicides",Richmond K. TurnerHolland Smith,Yoshitsugu Saitō †Chūichi Nagumo †Takeo Takagi †Matsuji Ijuin  †,"15 June – 9 July 1944(3 weeks, 3 days)","Saipan, Mariana Islands",American victory,"71,000","32,000[1]:563",,100,Battle of Saipan,", June 1944",https://en.wikipedia.org/wiki/Battle_of_Saipan,Pacific Theatre
United States,Japan,1 battleship damaged 123 aircraft destroyed[2] 109 dead,"3 fleet carriers sunk 2 oilers sunk 550–645 aircraft destroyed[2] 6 other ships damaged 2,987 dead (estimate)",Raymond A. Spruance  Marc A. Mitscher,Jisaburō Ozawa  Kakuji Kakuta,"June 19–20, 1944",The Philippine Sea,American victory[1],7 fleet carriers 8 light carriers 7 battleships 8 heavy cruisers 13 light cruisers 68 destroyers 28 submarines ~900 carrier aircraft,5 fleet carriers 4 light carriers 5 battleships 11 heavy cruisers 2 light cruisers 31 destroyers 24 submarines 6 oilers ~450 carrier aircraft ~300 land-based aircraft,,100,Battle of the Philippine Sea,", June 1944",https://en.wikipedia.org/wiki/Battle_of_the_Philippine_Sea,Pacific Theatre
